date,value
2001:Q1,2839497.0
2001:Q2,2856177.0
2001:Q3,2836558.0
2001:Q4,2743183.0
2002:Q1,2802999.0
2002:Q2,2844747.0
2002:Q3,2814986.0
2002:Q4,2700042.0
2003:Q1,2794332.0
2003:Q2,2791397.0
2003:Q3,2770949.0
2003:Q4,2701201.0
2004:Q1,2831441.0
2004:Q2,2913274.0
2004:Q3,2953100.0
2004:Q4,2904675.0
2005:Q1,3045877.0
2005:Q2,3173271.0
2005:Q3,3282063.0
2005:Q4,3305081.0
2006:Q1,3400557.0
2006:Q2,3485676.0
2006:Q3,3476902.0
2006:Q4,3371451.0
2007:Q1,3477687.0
2007:Q2,3595309.0
2007:Q3,3651717.0
2007:Q4,3630737.0
2008:Q1,3688547.0
2008:Q2,3706792.0
2008:Q3,3635040.0
2008:Q4,3470022.0
2009:Q1,3452800.0
2009:Q2,3461661.0
2009:Q3,3420021.0
2009:Q4,3348537.0
2010:Q1,3448866.0
2010:Q2,3531596.0
2010:Q3,3549055.0
2010:Q4,3540739.0
2011:Q1,3668234.0
2011:Q2,3754714.0
2011:Q3,3757061.0
2011:Q4,3730954.0
2012:Q1,3796314.0
2012:Q2,3815843.0
2012:Q3,3862716.0
2012:Q4,3830831.0
2013:Q1,3943293.0
2013:Q2,4082259.0
2013:Q3,4148780.0
2013:Q4,4160748.0
2014:Q1,4242170.0
2014:Q2,4362748.0
2014:Q3,4365192.0
2014:Q4,4335003.0
2015:Q1,4321973.0
2015:Q2,4420391.0
2015:Q3,4444385.0
2015:Q4,4413906.0
2016:Q1,4465011.0
2016:Q2,4630877.0
2016:Q3,4685676.0
2016:Q4,4748428.0
2017:Q1,4778555.0
2017:Q2,4882315.0
2017:Q3,4990974.0
2017:Q4,5054163.0
2018:Q1,5187069.0
2018:Q2,5382857.0
2018:Q3,5578773.0
2018:Q4,5590570.0
2019:Q1,5741566.0
2019:Q2,5917471.0
2019:Q3,6003480.0
2019:Q4,6080941.0
2020:Q1,6059620.0
2020:Q2,5888362.0
2020:Q3,6139174.0
2020:Q4,6326345.0
2021:Q1,6548474.0
2021:Q2,6801189.0
2021:Q3,6922024.0
2021:Q4,7105711.0
2022:Q1,7319338.0
2022:Q2,7585281.0
2022:Q3,7707544.0
2022:Q4,7848005.0
2023:Q1,7970799.0
2023:Q2,8131049.0
2023:Q3,8374153.0
2023:Q4,8445457.0
2024:Q1,8403674.0
2024:Q2,8566604.0
2024:Q3,8617041.0
2024:Q4,8770876.0
2025:Q1,8978828.0
2025:Q2,9137413.0
