date,value (millions USD)
2001:Q1,1947028
2001:Q2,1951662
2001:Q3,1909069
2001:Q4,1817916
2002:Q1,1855375
2002:Q2,1875524
2002:Q3,1832497
2002:Q4,1719534
2003:Q1,1799889
2003:Q2,1797930
2003:Q3,1783467
2003:Q4,1701793
2004:Q1,1805212
2004:Q2,1860975
2004:Q3,1883098
2004:Q4,1830643
2005:Q1,1944055
2005:Q2,2031068
2005:Q3,2108390
2005:Q4,2108248
2006:Q1,2167880
2006:Q2,2235216
2006:Q3,2217738
2006:Q4,2099243
2007:Q1,2180375
2007:Q2,2265597
2007:Q3,2302048
2007:Q4,2262207
2008:Q1,2295248
2008:Q2,2313176
2008:Q3,2245395
2008:Q4,2093967
2009:Q1,2101539
2009:Q2,2121900
2009:Q3,2114745
2009:Q4,2064452
2010:Q1,2148168
2010:Q2,2215741
2010:Q3,2221506
2010:Q4,2202562
2011:Q1,2298920
2011:Q2,2358709
2011:Q3,2331826
2011:Q4,2289401
2012:Q1,2339710
2012:Q2,2351621
2012:Q3,2377737
2012:Q4,2344826
2013:Q1,2443148
2013:Q2,2563791
2013:Q3,2614401
2013:Q4,2616645
2014:Q1,2663828
2014:Q2,2759445
2014:Q3,2763319
2014:Q4,2720773
2015:Q1,2696314
2015:Q2,2781453
2015:Q3,2796134
2015:Q4,2754199
2016:Q1,2766019
2016:Q2,2895911
2016:Q3,2914633
2016:Q4,2953031
2017:Q1,2944730
2017:Q2,3012317
2017:Q3,3080509
2017:Q4,3116388
2018:Q1,3206264
2018:Q2,3364414
2018:Q3,3523583
2018:Q4,3512687
2019:Q1,3670846
2019:Q2,3856017
2019:Q3,3960599
2019:Q4,4053223
2020:Q1,3951621
2020:Q2,3699177
2020:Q3,3858399
2020:Q4,3952016
2021:Q1,4101789
2021:Q2,4283281
2021:Q3,4334716
2021:Q4,4450071
2022:Q1,4588958
2022:Q2,4774232
2022:Q3,4836346
2022:Q4,4912568
2023:Q1,4968215
2023:Q2,5065170
2023:Q3,5240287
2023:Q4,5244725
2024:Q1,5134970
2024:Q2,5235904
2024:Q3,5232640
2024:Q4,5332436
2025:Q1,5494540
2025:Q2,5606114
